,Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Month,Year,URL,Number of additional authors,Non-English,Interdisciplinary,Forensic science,Criminology,Propose double weighting,Is reserve output,Research group,Open access status,Citations applicable,Citation count,Cross-referral requested,Supplementary information,Delayed by COVID19,Main panel name,Output type name
24667,10007807,University of Ulster,D,32.0,"Art and Design: History, Practice and Theory",Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,G,axial3d Insight,Not specified - PP ADDED,axial3D,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,June,2018.0,https://ulster.sharepoint.com/:b:/s/REF2021/EYrZ1Jz7dHBPno0pazP65FsBBfwDJFNaZ_igG7jn_ujwmw?e=bwG4iG,8.0,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,"B - Art, Design & Health",Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Arts and humanities,Software
29928,10003861,Leeds Beckett University,D,32.0,"Art and Design: History, Practice and Theory",Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,G,CAGD,Not specified - PP ADDED,Leeds Beckett University,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,2014.0,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Arts and humanities,Software
60339,10007784,University College London,C,23.0,Education,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,G,"EPPI-Reviewer: advanced software for systematic reviews, maps and evidence synthesis",Not specified - PP ADDED,UCL,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,April,2020.0,Not specified - PP ADDED,5.0,Not specified - PP ADDED,Yes,Not specified - PP ADDED,Not specified - PP ADDED,Yes,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Social sciences,Software
77283,10007792,University of Exeter,D,26.0,Modern Languages and Linguistics,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,G,Hidden Florence,Not specified - PP ADDED,University of Exeter / Calvium,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,2016.0,http://www.hiddenflorence.org/,0.0,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,32.0,Not specified - PP ADDED,Not specified - PP ADDED,Arts and humanities,Software
90777,10007798,The University of Manchester,B,11.0,Computer Science and Informatics,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,G,JBMC: A Bounded Model Checking Tool for Verifying Java Bytecode,Not specified - PP ADDED,Springer Nature,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,July,2018.0,Not specified - PP ADDED,4.0,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,A - Computer Science,Not specified - PP ADDED,Yes,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,"Physical sciences, engineering and mathematics",Software
101573,10007790,University of Edinburgh,B,11.0,Computer Science and Informatics,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,G,Met Office NERC Cloud model (MONC),Not specified - PP ADDED,"EPCC, University of Edinburgh",Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,April,2018.0,Not specified - PP ADDED,1.0,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,A - Computer Systems,Not specified - PP ADDED,Yes,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,"Physical sciences, engineering and mathematics",Software
117686,10007764,Heriot-Watt University,C,17.0,Business and Management Studies,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,G,PDSLASSO & LASSOPACK : Stata module for post-selection and post-regularization OLS or IV estimation and inference,Not specified - PP ADDED,Boston College Department of Economics,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,January,2019.0,Not specified - PP ADDED,2.0,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Social sciences,Software
129009,10007784,University College London,C,15.0,Archaeology,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,G,RCarbon: Methods for calibrating and analysing radiocarbon dates,Not specified - PP ADDED,Github,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,January,2017.0,Not specified - PP ADDED,1.0,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Social sciences,Software
129797,10007792,University of Exeter,D,29.0,Classics,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,G,Recogito Semantic Annotation platform,Not specified - PP ADDED,AIT Austrian Institute of Technology,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,March,2018.0,https://recogito.pelagios.org/,3.0,Not specified - PP ADDED,Yes,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,34.0,Not specified - PP ADDED,Not specified - PP ADDED,Arts and humanities,Software
164598,10007788,University of Cambridge,D,32.0,"Art and Design: History, Practice and Theory",Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,G,The Portable Antiquities Scheme's Database source code,Not specified - PP ADDED,Portable Antiquities Scheme,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,June,2016.0,Not specified - PP ADDED,3.0,Not specified - PP ADDED,Yes,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Not specified - PP ADDED,Arts and humanities,Software
